id,created_at,text
711218000000000000,3/19/16 15:50,"Wow, @CNN ratings are up 75% because it's ""all Trump, all the time."" The networks are making a fortune off of me! MAKE AMERICA GREAT AGAIN!"
711216000000000000,3/19/16 15:40,"Great to be back in Arizona!#MakeAmericaGreatAgain #Trump2016 https://t.co/uo287ZGvvQ"
711210000000000000,3/19/16 15:16,"If crazy @megynkelly didn't cover me so much on her terrible show, her ratings would totally tank. She is so average in so many ways!"
711209000000000000,3/19/16 15:14,Crazy @megynkelly says I don't (won't) go on her show and she still gets good ratings. But almost all of her shows are negative hits on me!
711175000000000000,3/19/16 12:59,"""@saneplanet: after tonight it is clear! Utah is #TrumpCountry  #Utah #Mormon #UtahPrimary #Utah4Trump https://t.co/8e14RE6YJo"""
711164000000000000,3/19/16 12:16,"""@TeamTrumpAZ: Check out ""HANNITY EXCLUSIVE EVENT WITH TRUMP IN PHOENIX, AZ"" https://t.co/fj2j9Lf2vH @Eventbrite"""
711164000000000000,3/19/16 12:15,"""@DonaldJTrumpJr: Honored to be in #Utah with retired General Robert C. Oaks. We are so thankful for his support and endorsement here in SLC"
711163000000000000,3/19/16 12:11,"""@Ma1973sk: Actually, no @FoxNews, @megynkelly has a sick obsession with Trump. Every day, every show, trashing, negative, hate."
711088000000000000,3/19/16 7:12,"""@AshleyEdam: It's great to see supporters like you along the way...watching Americans come together the past 8 months #voteTrump"
711088000000000000,3/19/16 7:11,"""@grammy620: 1st time I heard #Trump I said ""wow"". I liked him! I then became a closet #Trump fan. Today? He's the ONLY 1 I will vote for!"
711087000000000000,3/19/16 7:09,"""@Veteran4Trump: Vets For A Strong America Endorses Donald Trump for president; ""We've Endorsed Him, We Believe In Him"" #Trump2016"
711085000000000000,3/19/16 7:00,"""@WesleyRickard: Sheriff Joe Arpaio AZ Endorses Donald J Trump for President of the United States #AZ #UT  https://t.co/4FzcTZIGqE"""
711084000000000000,3/19/16 6:58,"""@cmichaeld2004: Realistic Trump Poll Numbers translate to the 70 percentile range in a two-man race. Gee, what happened to that 30% ceiling"
711052000000000000,3/19/16 4:48,"""@ileanabarkus:  @nytdavidbrooks I totally agree! @nytdavidbrooks is strictly conceptual and theoretical and has NO COMMONSENSE!"""
711050000000000000,3/19/16 4:40,"Thank you- New York! I love you!#MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA"
711047000000000000,3/19/16 4:28,Landing in Phoenix now. Tomorrow's events will be amazing! #Trump2016
711046000000000000,3/19/16 4:25,"Reading @nytdavidbrooks of the NY Times is a total waste of time, he is a clown with no awareness of the world around him- dummy!"
711042000000000000,3/19/16 4:11,"While I have never met @nytdavidbrooks of the NY Times, I consider him one of the dumbest of all pundits- he has no sense of the real world!"
711041000000000000,3/19/16 4:05,Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGreatAgain
711036000000000000,3/19/16 3:45,Watching @loudobbsnews- fantastic show! Has very interesting take on Paul Ryan.
711035000000000000,3/19/16 3:43,"Just leaving Salt Lake City, Utah- fantastic crowd with no interruptions. Love Utah- will be back!"
711008000000000000,3/19/16 1:54,RT @MarkHalperin: Utah Speaker of the House announces endorsement of @realDonaldTrump. Says @DonaldJTrumpJr played a big role
711008000000000000,3/19/16 1:53,Why haven't they released the final Missouri victory for us yet? Could it be because Cruz's guy runs Missouri?
710996000000000000,3/19/16 1:05,"I guess I have reached yet another ""ceiling""  - 49.7%, with four people. My highest Reuters poll yet! Thank you! https://t.co/k5Ft585Arp"
710989000000000000,3/19/16 0:40,Do you believe that Hillary Clinton now wants Obamacare for illegal immigrants? She should spend more time taking care of our great Vets!
710948000000000000,3/18/16 21:55,"Everybody should boycott the @megynkelly show. Never worth watching. Always a hit on Trump! She is sick, &amp; the most overrated person on tv."
710929000000000000,3/18/16 20:41,"Thank you Arizona- I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/fTzaIvTX9b"
710929000000000000,3/18/16 20:39,"Join me tomorrow! #Trump2016#MakeAmericaGreatAgain https://t.co/1Yak4I5B7b"
